odom_x,odom_y,odom_theta,truth_x,truth_y,truth_theta
9.705597,14.774877,1.190104,3.705973,13.774690,1.190099
9.705648,14.775007,1.190147,3.706025,13.774822,1.190138
9.705699,14.775135,1.190180,3.706074,13.774944,1.190169
9.705748,14.775257,1.190227,3.706124,13.775064,1.190217
9.705798,14.775381,1.190266,3.706174,13.775193,1.190254
9.705849,14.775506,1.190307,3.706223,13.775314,1.190295
9.705893,14.775609,1.190346,3.706269,13.775427,1.190334
9.705942,14.775744,1.190389,3.706318,13.775556,1.190377
9.705993,14.775871,1.190427,3.706369,13.775681,1.190420
9.706044,14.775994,1.190473,3.706420,13.775809,1.190461
9.706099,14.776140,1.190516,3.706474,13.775944,1.190509
9.706150,14.776258,1.190558,3.706526,13.776069,1.190550
9.706200,14.776388,1.190598,3.706576,13.776195,1.190586
9.706244,14.776495,1.190631,3.706613,13.776290,1.190617
9.706300,14.776636,1.190678,3.706676,13.776452,1.190668
9.706344,14.776749,1.190718,3.706719,13.776558,1.190715
9.706394,14.776879,1.190762,3.706771,13.776686,1.190754
9.706445,14.777005,1.190806,3.706822,13.776811,1.190794
9.706495,14.777133,1.190845,3.706870,13.776941,1.190835
9.706544,14.777256,1.190883,3.706920,13.777062,1.190870
9.706589,14.777367,1.190911,3.706964,13.777173,1.190898
9.706638,14.777488,1.190950,3.707014,13.777308,1.190946
9.706689,14.777611,1.191000,3.707065,13.777425,1.190987
9.706738,14.777740,1.191039,3.707114,13.777555,1.191027
9.706788,14.777874,1.191084,3.707158,13.777663,1.191066
9.706839,14.777997,1.191125,3.707214,13.777808,1.191114
9.706888,14.778118,1.191166,3.707264,13.777927,1.191157
9.706938,14.778245,1.191207,3.707314,13.778058,1.191197
9.706989,14.778371,1.191248,3.707364,13.778182,1.191239
9.707040,14.778502,1.191291,3.707416,13.778311,1.191279
9.707090,14.778619,1.191333,3.707466,13.778428,1.191325
9.707139,14.778748,1.191380,3.707515,13.778563,1.191367
9.707191,14.778880,1.191421,3.707566,13.778688,1.191411
9.707241,14.779001,1.191460,3.707617,13.778814,1.191450
9.707296,14.779145,1.191503,3.707685,13.778987,1.191511
9.707346,14.779272,1.191551,3.707729,13.779099,1.191546
9.707397,14.779395,1.191592,3.707773,13.779211,1.191582
9.707460,14.779560,1.191645,3.707835,13.779369,1.191637
9.707496,14.779650,1.191676,3.707874,13.779466,1.191662
9.707547,14.779781,1.191721,3.707923,13.779590,1.191712
9.707590,14.779894,1.191755,3.707967,13.779700,1.191744
9.707641,14.780017,1.191795,3.708018,13.779830,1.191786
9.707691,14.780139,1.191842,3.708073,13.779972,1.191837
9.707774,14.780354,1.191911,3.708161,13.780198,1.191909
9.707817,14.780466,1.191948,3.708194,13.780278,1.191936
9.707866,14.780591,1.191987,3.708244,13.780402,1.191973
9.707918,14.780718,1.192020,3.708293,13.780527,1.192006
9.707962,14.780822,1.192053,3.708338,13.780637,1.192043
9.708012,14.780955,1.192098,3.708389,13.780766,1.192088
9.708062,14.781079,1.192141,3.708438,13.780894,1.192128
9.708114,14.781201,1.192182,3.708488,13.781018,1.192172
9.708162,14.781325,1.192223,3.708538,13.781143,1.192211
9.708211,14.781454,1.192263,3.708587,13.781266,1.192257
9.708261,14.781583,1.192307,3.708637,13.781394,1.192298
9.708312,14.781705,1.192348,3.708688,13.781522,1.192340
9.708361,14.781831,1.192391,3.708738,13.781638,1.192378
9.708411,14.781959,1.192429,3.708786,13.781766,1.192420
9.708460,14.782077,1.192469,3.708836,13.781889,1.192456
9.708509,14.782200,1.192514,3.708887,13.782012,1.192507
9.708561,14.782327,1.192553,3.708936,13.782144,1.192545
9.708610,14.782455,1.192598,3.708987,13.782267,1.192584
9.708660,14.782584,1.192632,3.709036,13.782396,1.192617
9.708712,14.782705,1.192665,3.709088,13.782513,1.192653
9.708761,14.782833,1.192703,3.709138,13.782643,1.192693
9.708812,14.782960,1.192747,3.709188,13.782769,1.192740
9.708862,14.783087,1.192786,3.709238,13.782892,1.192774
9.708911,14.783211,1.192828,3.709288,13.783022,1.192817
9.708963,14.783336,1.192870,3.709338,13.783154,1.192861
9.709012,14.783467,1.192912,3.709388,13.783274,1.192909
9.709062,14.783596,1.192957,3.709438,13.783402,1.192950
9.709113,14.783716,1.193000,3.709488,13.783532,1.192988
9.709162,14.783842,1.193040,3.709537,13.783651,1.193034
9.709211,14.783969,1.193086,3.709588,13.783779,1.193075
9.709262,14.784095,1.193126,3.709638,13.783908,1.193114
9.709312,14.784223,1.193167,3.709687,13.784030,1.193157
9.709361,14.784342,1.193206,3.709736,13.784163,1.193203
9.709405,14.784460,1.193249,3.709780,13.784269,1.193238
9.709455,14.784585,1.193293,3.709831,13.784394,1.193283
9.709504,14.784715,1.193333,3.709880,13.784526,1.193321
9.709556,14.784841,1.193373,3.709932,13.784648,1.193356
9.709604,14.784966,1.193406,3.709980,13.784773,1.193398
9.709653,14.785086,1.193454,3.710030,13.784896,1.193442
9.709703,14.785212,1.193494,3.710081,13.785022,1.193489
9.709747,14.785326,1.193532,3.710123,13.785134,1.193523
9.709810,14.785476,1.193585,3.710186,13.785290,1.193575
9.709852,14.785592,1.193621,3.710230,13.785405,1.193609
9.709902,14.785715,1.193660,3.710279,13.785530,1.193649
9.709953,14.785844,1.193710,3.710322,13.785643,1.193696
9.710002,14.785969,1.193748,3.710377,13.785781,1.193738
9.710054,14.786093,1.193785,3.710429,13.785909,1.193773
9.710101,14.786222,1.193827,3.710479,13.786036,1.193818
9.710151,14.786348,1.193870,3.710526,13.786162,1.193859
9.710200,14.786474,1.193909,3.710577,13.786287,1.193901
9.710251,14.786603,1.193956,3.710627,13.786416,1.193948
9.710302,14.786726,1.194000,3.710676,13.786543,1.193990
9.710350,14.786851,1.194042,3.710725,13.786663,1.194029
9.710395,14.786963,1.194081,3.710771,13.786777,1.194068
9.710445,14.787090,1.194116,3.710821,13.786900,1.194105
9.710495,14.787218,1.194159,3.710871,13.787028,1.194148
9.710544,14.787344,1.194200,3.710921,13.787149,1.194192
9.710595,14.787468,1.194241,3.710970,13.787282,1.194227
9.710644,14.787594,1.194282,3.711020,13.787407,1.194275
9.710694,14.787725,1.194331,3.711070,13.787537,1.194321
9.710742,14.787849,1.194375,3.711120,13.787665,1.194364
9.710793,14.787979,1.194418,3.711169,13.787787,1.194405
9.710843,14.788103,1.194457,3.711219,13.787915,1.194446
9.710893,14.788231,1.194499,3.711270,13.788036,1.194489
9.710942,14.788351,1.194536,3.711318,13.788160,1.194530
9.710992,14.788478,1.194581,3.711367,13.788290,1.194572
9.711041,14.788601,1.194623,3.711419,13.788415,1.194615
9.711091,14.788725,1.194664,3.711467,13.788535,1.194654
9.711141,14.788855,1.194706,3.711518,13.788661,1.194693
9.711190,14.788979,1.194737,3.711567,13.788791,1.194731
9.711234,14.789093,1.194788,3.711612,13.788904,1.194782
9.711284,14.789222,1.194831,3.711660,13.789028,1.194819
9.711333,14.789344,1.194870,3.711710,13.789160,1.194860
9.711383,14.789475,1.194913,3.711759,13.789290,1.194904
9.711434,14.789604,1.194956,3.711811,13.789412,1.194946
9.711484,14.789722,1.194997,3.711861,13.789536,1.194988
9.711535,14.789855,1.195040,3.711905,13.789647,1.195021
9.711584,14.789977,1.195082,3.711959,13.789790,1.195074
9.711634,14.790105,1.195132,3.712003,13.789905,1.195115
9.711683,14.790233,1.195169,3.712059,13.790047,1.195161
9.711732,14.790352,1.195216,3.712108,13.790171,1.195204
9.711782,14.790488,1.195251,3.712158,13.790298,1.195243
9.711831,14.790616,1.195302,3.712207,13.790421,1.195293
9.711882,14.790735,1.195348,3.712255,13.790550,1.195333
9.711929,14.790864,1.195386,3.712304,13.790673,1.195373
9.711973,14.790974,1.195421,3.712349,13.790792,1.195416
9.712024,14.791105,1.195471,3.712399,13.790916,1.195460
9.712071,14.791234,1.195513,3.712449,13.791040,1.195503
9.712122,14.791355,1.195554,3.712498,13.791166,1.195545
9.712173,14.791483,1.195596,3.712548,13.791295,1.195591
9.712221,14.791607,1.195640,3.712597,13.791423,1.195630
9.712270,14.791734,1.195682,3.712641,13.791528,1.195668
9.712320,14.791864,1.195728,3.712696,13.791674,1.195719
9.712370,14.791988,1.195764,3.712745,13.791800,1.195754
9.712419,14.792118,1.195805,3.712795,13.791931,1.195794
9.712468,14.792241,1.195853,3.712844,13.792051,1.195844
9.712517,14.792364,1.195898,3.712886,13.792157,1.195879
9.712566,14.792492,1.195936,3.712942,13.792302,1.195925
9.712610,14.792595,1.195972,3.712986,13.792408,1.195963
9.712665,14.792745,1.196016,3.713040,13.792559,1.196008
9.712709,14.792860,1.196062,3.713084,13.792665,1.196055
9.712759,14.792985,1.196108,3.713135,13.792790,1.196093
9.712808,14.793113,1.196148,3.713184,13.792923,1.196133
9.712857,14.793232,1.196192,3.713233,13.793049,1.196181
9.712907,14.793364,1.196236,3.713283,13.793173,1.196227
9.712955,14.793489,1.196280,3.713332,13.793297,1.196272
9.713004,14.793612,1.196325,3.713382,13.793423,1.196316
9.713054,14.793741,1.196368,3.713431,13.793549,1.196358
9.713104,14.793864,1.196407,3.713480,13.793674,1.196398
9.713154,14.793992,1.196440,3.713529,13.793802,1.196428
9.713202,14.794114,1.196483,3.713578,13.793928,1.196471
9.713252,14.794240,1.196524,3.713628,13.794053,1.196514
9.713302,14.794360,1.196568,3.713678,13.794178,1.196556
9.713351,14.794494,1.196607,3.713727,13.794303,1.196596
9.713400,14.794617,1.196651,3.713778,13.794426,1.196637
9.713450,14.794737,1.196691,3.713827,13.794556,1.196680
9.713500,14.794869,1.196730,3.713876,13.794678,1.196724
9.713544,14.794976,1.196767,3.713920,13.794789,1.196760
9.713593,14.795099,1.196816,3.713970,13.794916,1.196806
9.713643,14.795233,1.196859,3.714020,13.795040,1.196849
9.713694,14.795351,1.196903,3.714069,13.795170,1.196893
9.713742,14.795489,1.196944,3.714116,13.795298,1.196929
9.713791,14.795604,1.196986,3.714167,13.795417,1.196976
9.713840,14.795732,1.197024,3.714217,13.795543,1.197018
9.713889,14.795862,1.197069,3.714266,13.795667,1.197060
9.713940,14.795986,1.197113,3.714316,13.795800,1.197106
9.713989,14.796115,1.197159,3.714365,13.795921,1.197145
